Morphotype,IsolateID,CulturePlate,Type,MesquiteNum,PlantOrigin,Plot,PlateNum
B0,1-DICA-OPN-1-I,1-DICA-OPN-1,Bacteria,1,DICA,OPN,1
B0,1-DICA-OPN-1-A,1-DICA-OPN-1,Bacteria,1,DICA,OPN,1
B0,2-DICA-OPN-1-A,2-DICA-OPN-1,Bacteria,2,DICA,OPN,1
B02,3-DICA-OPN-1-A,3-DICA-OPN-1,Bacteria,3,DICA,OPN,1
B02,2-DICA-CAN-3-I,2-DICA-CAN-3,Bacteria,2,DICA,CAN,3
B02,3-ERLE-OPN-2-B,3-ERLE-OPN-2,Bacteria,3,ERLE,OPN,2
B02,2-DICA-OPN-3-H,2-DICA-OPN-3,Bacteria,2,DICA,OPN,3
B02,2-DICA-CAN-1-D,2-DICA-CAN-1,Bacteria,2,DICA,CAN,1
B03,3-ERLE-CAN-2-G,3-ERLE-CAN-2,Bacteria,3,ERLE,CAN,2
B03,1-DICA-CAN-1-F,1-DICA-CAN-1,Bacteria,1,DICA,CAN,1
B03,1-DICA-CAN-1-G,1-DICA-CAN-1,Bacteria,1,DICA,CAN,1
B03,3-DICA-OPN-2-B,3-DICA-OPN-2,Bacteria,3,DICA,OPN,2
B03,1-ERLE-OPN-2-B,1-ERLE-OPN-2,Bacteria,1,ERLE,OPN,2
B03,2-DICA-CAN-3-D,2-DICA-CAN-3,Bacteria,2,DICA,CAN,3
B03,1-ERLE-CAN-3-D,1-ERLE-CAN-3,Bacteria,1,ERLE,CAN,3
B0,3-ERLE-OPN-1-D,3-ERLE-OPN-1,Bacteria,3,ERLE,OPN,1
B04,1-DICA-OPN-3-B,1-DICA-OPN-3,Bacteria,1,DICA,OPN,3
B04,2-DICA-OPN-1-E,2-DICA-OPN-1,Bacteria,2,DICA,OPN,1
B04,2-DICA-OPN-1-G,2-DICA-OPN-1,Bacteria,2,DICA,OPN,1
B04,3-ERLE-OPN-2-G,3-ERLE-OPN-2,Bacteria,3,ERLE,OPN,2
B04,1-DICA-OPN-3-I,1-DICA-OPN-3,Bacteria,1,DICA,OPN,3
B04,1-ERLE-CAN-3-F,1-ERLE-CAN-3,Bacteria,1,ERLE,CAN,3
B05,2-DICA-OPN-1-H,2-DICA-OPN-1,Bacteria,2,DICA,OPN,1
B05,2-DICA-OPN-2-C,2-DICA-OPN-2,Bacteria,2,DICA,OPN,2
B05,2-DICA-OPN-2-E,2-DICA-OPN-2,Bacteria,2,DICA,OPN,2
B05,3-ERLE-OPN-1-B,3-ERLE-OPN-1,Bacteria,3,ERLE,OPN,1
B05,1-DICA-OPN-2-B,1-DICA-OPN-2,Bacteria,1,DICA,OPN,2
B0,3-ERLE-OPN-2-I,3-ERLE-OPN-2,Bacteria,3,ERLE,OPN,2
B0,1-DICA-OPN-1-B,1-DICA-OPN-1,Bacteria,1,DICA,OPN,1
B0,2-DICA-CAN-3-E,2-DICA-CAN-3,Bacteria,2,DICA,CAN,3
B0,3-DICA-OPN-2-C,3-DICA-OPN-2,Bacteria,3,DICA,OPN,2
B0,3-DICA-OPN-2-E,3-DICA-OPN-2,Bacteria,3,DICA,OPN,2
B0,1-DICA-OPN-3-E,1-DICA-OPN-3,Bacteria,1,DICA,OPN,3
B02,3-DICA-OPN-1-G,3-DICA-OPN-1,Bacteria,3,DICA,OPN,1
B06,1-ERLE-CAN-1-F,1-ERLE-CAN-1,Bacteria,1,ERLE,CAN,1
B06,1-ERLE-CAN-1-E,1-ERLE-CAN-1,Bacteria,1,ERLE,CAN,1
B06,2-DICA-OPN-3-K,2-DICA-OPN-3,Bacteria,2,DICA,OPN,3
