"","SampleID","AnalysisType","values","MesquiteNum","Plot","SoilType","CanopyStatus","PatchType"
"43","M1_IC_1","Mn.ppm.",10,"M1","IC","Live","Mesquite","Invasive"
"44","M1_IC_1","Cu.ppm.",2.6,"M1","IC","Live","Mesquite","Invasive"
"45","M1_IC_1","Ni.ppm.",0.07,"M1","IC","Live","Mesquite","Invasive"
"46","M1_IC_1","NO3.N.ppm.",4.6,"M1","IC","Live","Mesquite","Invasive"
"47","M1_IC_1","PO4.P.ppm.",8.4,"M1","IC","Live","Mesquite","Invasive"
"48","M1_IC_1","SO4.S.ppm.",3.2,"M1","IC","Live","Mesquite","Invasive"
"49","M1_IC_1","B.ppm.",0.35,"M1","IC","Live","Mesquite","Invasive"
"50","M1_IC_1","ESP...",3.63,"M1","IC","Live","Mesquite","Invasive"
"51","M1_IC_1","CEC.meq.100g.",2.88,"M1","IC","Live","Mesquite","Invasive"
"52","M1_IC_2","pH",6.3,"M1","IC","Sterile","Mesquite","Invasive"
"53","M1_IC_2","ElectricalConductivity.dS.m.",0.1,"M1","IC","Sterile","Mesquite","Invasive"
"54","M1_IC_2","Ca.ppm.",570,"M1","IC","Sterile","Mesquite","Invasive"
"55","M1_IC_2","Mg.ppm.",78,"M1","IC","Sterile","Mesquite","Invasive"
"56","M1_IC_2","Na.ppm.",19,"M1","IC","Sterile","Mesquite","Invasive"
"57","M1_IC_2","K.ppm.",130,"M1","IC","Sterile","Mesquite","Invasive"
"58","M1_IC_2","Zn.ppm.",1.6,"M1","IC","Sterile","Mesquite","Invasive"
"59","M1_IC_2","Fe.ppm.",34,"M1","IC","Sterile","Mesquite","Invasive"
"60","M1_IC_2","Mn.ppm.",39,"M1","IC","Sterile","Mesquite","Invasive"
"61","M1_IC_2","Cu.ppm.",1.5,"M1","IC","Sterile","Mesquite","Invasive"
"62","M1_IC_2","Ni.ppm.",0.08,"M1","IC","Sterile","Mesquite","Invasive"
"63","M1_IC_2","NO3.N.ppm.",2.8,"M1","IC","Sterile","Mesquite","Invasive"
"64","M1_IC_2","PO4.P.ppm.",7.3,"M1","IC","Sterile","Mesquite","Invasive"
"65","M1_IC_2","SO4.S.ppm.",5,"M1","IC","Sterile","Mesquite","Invasive"
"66","M1_IC_2","B.ppm.",0.46,"M1","IC","Sterile","Mesquite","Invasive"
"67","M1_IC_2","ESP...",2.12,"M1","IC","Sterile","Mesquite","Invasive"
"68","M1_IC_2","CEC.meq.100g.",3.9,"M1","IC","Sterile","Mesquite","Invasive"
"69","M1_NO_1","pH",5.1,"M1","NO","Live","Open","Native"
"70","M1_NO_1","ElectricalConductivity.dS.m.",0.041,"M1","NO","Live","Open","Native"
"71","M1_NO_1","Ca.ppm.",250,"M1","NO","Live","Open","Native"
"72","M1_NO_1","Mg.ppm.",44,"M1","NO","Live","Open","Native"
"73","M1_NO_1","Na.ppm.",20,"M1","NO","Live","Open","Native"
"74","M1_NO_1","K.ppm.",78,"M1","NO","Live","Open","Native"
